Frame Number,Timestamp,License Plate Text
140,2024-04-02 12:54:44.980162,IO41CO7150
202,2024-04-02 12:55:20.327773,LD42bO4150
203,2024-04-02 12:55:20.856076,ED42CO7150
248,2024-04-02 12:55:47.836913,qB18IO8767
253,2024-04-02 12:55:51.552368,qB18IO8767
259,2024-04-02 12:55:56.057166,MP16BT5797
260,2024-04-02 12:55:56.665780,MP16BT5797
261,2024-04-02 12:55:57.356030,MP15BT5797
262,2024-04-02 12:55:58.142930,MP16BT5797
263,2024-04-02 12:55:58.908160,PI68TS7974
263,2024-04-02 12:55:59.089846,qB18IO8164
264,2024-04-02 12:55:59.855077,qB18IO8767
267,2024-04-02 12:56:02.444566,MP16BT5797
267,2024-04-02 12:56:02.608064,qB18IO8767
268,2024-04-02 12:56:03.453805,qB18IO8767
271,2024-04-02 12:56:05.411287,WP16BT5797
272,2024-04-02 12:56:06.174183,WP16BT5797
272,2024-04-02 12:56:06.472514,qB18AO8767
273,2024-04-02 12:56:07.240180,qB18IO8767
274,2024-04-02 12:56:08.010063,qB18IO8701
275,2024-04-02 12:56:08.596748,MP16BT5797
276,2024-04-02 12:56:09.397164,MP16BI5797
278,2024-04-02 12:56:11.226548,qB18IO8767
284,2024-04-02 12:56:15.779763,qB18IO8707
285,2024-04-02 12:56:16.232103,MP16BT5797
285,2024-04-02 12:56:16.511990,qO18IO8167
287,2024-04-02 12:56:17.837358,MP15LB5797
287,2024-04-02 12:56:18.113426,qO18AO8767
291,2024-04-02 12:56:20.870914,MP15LB5797
293,2024-04-02 12:56:22.400162,MP15BI5797
294,2024-04-02 12:56:23.102299,MR18BT5797
296,2024-04-02 12:56:24.548513,qB18IO8767
297,2024-04-02 12:56:24.971448,WP16BT5797
299,2024-04-02 12:56:26.571203,WP16BL5797
302,2024-04-02 12:56:28.686003,MP15BT5797
303,2024-04-02 12:56:29.361601,MP16BI5797
306,2024-04-02 12:56:31.403703,WP15BT5797
308,2024-04-02 12:56:32.947065,MP15UB5797
309,2024-04-02 12:56:33.806345,WP15BT5797
310,2024-04-02 12:56:34.519551,JP15LB5797
312,2024-04-02 12:56:35.901711,MP16BL5797
313,2024-04-02 12:56:36.806714,HP15BL5797
314,2024-04-02 12:56:37.794978,MP16BL5797
315,2024-04-02 12:56:38.231740,WP16BT5797
317,2024-04-02 12:56:39.693721,MR16BT5297
318,2024-04-02 12:56:40.475700,MP16BT5797
320,2024-04-02 12:56:41.758924,MR16BT5797
321,2024-04-02 12:56:42.471876,JP16BL5797
324,2024-04-02 12:56:44.343679,MR16BI5797
325,2024-04-02 12:56:45.033850,MR18BS5797
332,2024-04-02 12:56:49.829634,MP15BL5292
336,2024-04-02 12:56:52.189791,IR16BI5297
337,2024-04-02 12:56:52.832294,IR16BI5297
339,2024-04-02 12:56:54.143669,WR16BT5297
340,2024-04-02 12:56:54.564187,MR16BI5297
341,2024-04-02 12:56:55.073221,MP16BI5297
342,2024-04-02 12:56:55.801371,MR18BI5797
343,2024-04-02 12:56:56.321566,MR18BI5797
344,2024-04-02 12:56:56.864910,MR16BI5797
345,2024-04-02 12:56:57.285187,MP16BL5297
348,2024-04-02 12:56:58.655946,MR16BI5797
350,2024-04-02 12:56:59.698163,MP15BL5297
351,2024-04-02 12:57:00.317189,MR16BI5297
361,2024-04-02 12:57:06.022339,MR16BI5297
363,2024-04-02 12:57:07.126721,MP16BL5297
365,2024-04-02 12:57:08.102841,NR15BL5292
366,2024-04-02 12:57:08.602732,HR11BI5297
367,2024-04-02 12:57:09.103962,IR16BI5797
368,2024-04-02 12:57:09.578810,IR16BL5797
371,2024-04-02 12:57:11.120824,NP16BL5797
372,2024-04-02 12:57:11.588930,IB18BL5797
